Title,Description,Status,Labels,Assignees,Milestone
Define Account entity,"Create Account struct with ID, Name, encapsulated balance",Backlog,feature,,
Define Transaction entity,"Create Transaction struct with type, amount, from/to, timestamp",Backlog,feature,,
Define Transaction Types,"Implement deposit, withdraw, transfer types",Backlog,feature,,
Define Custom Types,"Create AccountID and optional Currency type",Backlog,enhancement,,
Implement Account storage,"Use map[AccountID]Account for fast lookup",Backlog,feature,,
Implement Transaction storage,"Use slice to store transaction history",Backlog,feature,,
Implement Deposit,"Add transaction and update account balance",Backlog,feature,,
Implement Withdraw,"Deduct amount ensuring no negative balance",Backlog,feature,,
Implement Transfer,"Move funds between accounts and create transaction record",Backlog,feature,,
Compute Balance,"Implement balance calculation logic",Backlog,feature,,
Retrieve Transaction History,"Fetch transaction history per account",Backlog,feature,,
Create TransactionProcessor interface,"Define Process(tx Transaction) error",Backlog,tech-debt,,
Create Storage interface,"Define SaveTransaction and GetTransactions methods",Backlog,tech-debt,,
Implement In-Memory Storage,"Create memory.go with storage implementation",Backlog,feature,,
Connect Storage to Ledger,"Inject storage dependency into ledger logic",Backlog,feature,,
Setup CLI entry point,"Initialize cmd/main.go",Backlog,feature,,
Implement command parser,"Parse CLI input into commands",Backlog,feature,,
Implement Account Commands,"Create and list accounts",Backlog,feature,,
Implement Transaction Commands,"Deposit, withdraw, transfer commands",Backlog,feature,,
Implement Ledger Commands,"Balance and history commands",Backlog,feature,,
Prevent Invalid Transactions,"Reject negative values",Backlog,bug,,
Prevent Overdraft,"Ensure balance never goes negative",Backlog,bug,,
Enforce Transaction Rule,"Ensure every action generates a transaction",Backlog,bug,,
Unit tests for Account,"Test account creation and state handling",Backlog,test,,
Unit tests for Transactions,"Test deposit, withdraw, transfer logic",Backlog,test,,
Integration tests for CLI,"Test CLI end-to-end commands",Backlog,test,,
Add persistence (file/db),"Introduce persistent storage",Backlog,enhancement,,
Add REST API,"Expose ledger via HTTP API",Backlog,enhancement,,
Add authentication layer,"Secure access to system",Backlog,enhancement,,
Add concurrency safety,"Make system thread-safe",Backlog,enhancement,,
External integrations,"Support external systems",Backlog,enhancement,,